group,n,positive,rate,wilson95_hi,wilson95_lo
dose_0,144,0,0.0,0.025983637143036746,0.0
dose_1,144,0,0.0,0.025983637143036746,0.0
dose_2,144,0,0.0,0.025983637143036746,0.0
dose_4,144,4,0.027777777777777776,0.06924153934534726,0.01085411795640967
dose_8,144,20,0.1388888888888889,0.20480196041450174,0.09174177752213594
