group,n,positive,rate,wilson95_hi,wilson95_lo
dose_0,141,0,0.0,0.026521818075925647,0.0
dose_1,142,0,0.0,0.02633996431300811,0.0
dose_2,142,0,0.0,0.02633996431300811,0.0
dose_4,143,4,0.027972027972027972,0.06971072389493262,0.010930390105123394
dose_8,142,20,0.14084507042253522,0.20754883115224318,0.09306156574865002
