group,n,positive,rate,wilson95_hi,wilson95_lo
anchor_dose_0,71,0,0.0,0.05132795219689034,0.0
anchor_dose_1,71,0,0.0,0.05132795219689034,0.0
anchor_dose_2,71,0,0.0,0.05132795219689034,0.0
anchor_dose_4,72,4,0.05555555555555555,0.13432015965997918,0.02181421598131665
anchor_dose_8,72,12,0.16666666666666666,0.269107069305355,0.09799371242561683
