count,per_1000_tokens,phrase,tokens
0,0.0,the directive,20885
1,0.047881254488867604,most likely,20885
3,0.14364376346660285,appears,20885
0,0.0,cannot verify,20885
0,0.0,no evidence,20885
1,0.047881254488867604,does not exist,20885
